COUNTERPARTY_ID,NAME,SECTOR,JURISDICTION,RISK_RATING,CONCENTRATION_GROUP,CREATED_AT
CP-00159,Coal Corp 3,Coal & Petroleum Products,IN,AA,,2026-06-30
CP-00160,Coal & Co 4,Coal & Petroleum Products,IN,AAA,,2026-06-30
CP-00161,Coal Enterprises 5,Coal & Petroleum Products,IN,A,,2026-06-30
CP-00162,Coal Holdings Ltd 6,Coal & Petroleum Products,Overseas,AAA,,2026-06-30
CP-00163,Coal Corp 7,Coal & Petroleum Products,IN,AAA,,2026-06-30
CP-00164,Coal Industries Ltd 8,Coal & Petroleum Products,IN,AAA,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00165,Coal Industries Ltd 9,Coal & Petroleum Products,IN,AA,,2026-06-30
CP-00166,Coal Industries Ltd 10,Coal & Petroleum Products,IN,AAA,,2026-06-30
CP-00167,Coal Corp 11,Coal & Petroleum Products,IN,AA,,2026-06-30
CP-00168,Coal Industries Ltd 12,Coal & Petroleum Products,IN,AA,,2026-06-30
CP-00169,Coal Holdings Ltd 13,Coal & Petroleum Products,IN,AAA,,2026-06-30
CP-00170,Coal Enterprises 14,Coal & Petroleum Products,IN,AAA,,2026-06-30
CP-00171,Coal Holdings Ltd 15,Coal & Petroleum Products,IN,A,,2026-06-30
CP-00172,Consumer Durables & Co 1,Consumer Durables,IN,AA,,2026-06-30
CP-00173,Consumer Durables Enterprises 2,Consumer Durables,IN,BBB,,2026-06-30
CP-00174,Consumer Durables Pvt Ltd 3,Consumer Durables,Overseas,A,,2026-06-30
CP-00175,Consumer Durables Corp 4,Consumer Durables,IN,BBB,,2026-06-30
CP-00176,Consumer Durables Holdings Ltd 5,Consumer Durables,IN,A,,2026-06-30
CP-00177,Consumer Durables Pvt Ltd 6,Consumer Durables,IN,A,,2026-06-30
CP-00178,Consumer Durables Holdings Ltd 7,Consumer Durables,IN,BBB,,2026-06-30
CP-00179,Consumer Durables Enterprises 8,Consumer Durables,IN,BBB,,2026-06-30
CP-00180,Consumer Durables Corp 9,Consumer Durables,IN,A,,2026-06-30
CP-00181,Consumer Durables Pvt Ltd 10,Consumer Durables,IN,AA,,2026-06-30
CP-00182,Consumer Durables Corp 11,Consumer Durables,IN,A,,2026-06-30
CP-00183,Consumer Durables Industries Ltd 12,Consumer Durables,IN,AA,,2026-06-30
CP-00184,Consumer Durables Industries Ltd 13,Consumer Durables,IN,A,,2026-06-30
CP-00185,Consumer Durables & Co 14,Consumer Durables,IN,AA,,2026-06-30
CP-00186,Consumer Loans Pvt Ltd 1,Consumer Loans,IN,AA,,2026-06-30
CP-00187,Consumer Loans Corp 2,Consumer Loans,IN,BBB,,2026-06-30
CP-00188,Consumer Loans Enterprises 3,Consumer Loans,IN,AA,,2026-06-30
CP-00189,Consumer Loans Pvt Ltd 4,Consumer Loans,IN,AA,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00190,Consumer Loans Industries Ltd 5,Consumer Loans,IN,A,,2026-06-30
CP-00191,Consumer Loans Enterprises 6,Consumer Loans,IN,AA,,2026-06-30
CP-00192,Consumer Loans Enterprises 7,Consumer Loans,IN,BBB,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00193,Consumer Loans Enterprises 8,Consumer Loans,IN,A,,2026-06-30
CP-00194,Consumer Loans Enterprises 9,Consumer Loans,IN,AA,,2026-06-30
CP-00195,Consumer Loans & Co 10,Consumer Loans,IN,BBB,,2026-06-30
CP-00196,Consumer Loans Pvt Ltd 11,Consumer Loans,IN,BBB,,2026-06-30
CP-00197,Consumer Loans Industries Ltd 12,Consumer Loans,IN,BBB,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00198,Consumer Loans Pvt Ltd 13,Consumer Loans,IN,AA,,2026-06-30
CP-00199,Consumer Loans Industries Ltd 14,Consumer Loans,IN,A,,2026-06-30
CP-00200,Consumer Loans & Co 15,Consumer Loans,IN,AA,,2026-06-30
CP-00201,Consumer Loans Pvt Ltd 16,Consumer Loans,IN,A,,2026-06-30
CP-00202,Consumer Loans Enterprises 17,Consumer Loans,IN,AA,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00203,Consumer Services Industries Ltd 1,Consumer Services,IN,BBB,,2026-06-30
CP-00204,Consumer Services Corp 2,Consumer Services,IN,A,,2026-06-30
CP-00205,Consumer Services Industries Ltd 3,Consumer Services,IN,AA,,2026-06-30
CP-00206,Consumer Services Enterprises 4,Consumer Services,IN,AA,,2026-06-30
CP-00207,Consumer Services Enterprises 5,Consumer Services,IN,A,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00208,Consumer Services Corp 6,Consumer Services,IN,A,,2026-06-30
CP-00209,Consumer Services Enterprises 7,Consumer Services,IN,A,,2026-06-30
CP-00210,Consumer Services Corp 8,Consumer Services,IN,BBB,,2026-06-30
CP-00211,Consumer Services & Co 9,Consumer Services,IN,BBB,,2026-06-30
CP-00212,Consumer Services Enterprises 10,Consumer Services,IN,AA,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00213,Consumer Services Enterprises 11,Consumer Services,IN,A,,2026-06-30
CP-00214,Consumer Services Pvt Ltd 12,Consumer Services,IN,A,,2026-06-30
CP-00215,Consumer Services Enterprises 13,Consumer Services,IN,A,,2026-06-30
CP-00216,Consumer Services Pvt Ltd 14,Consumer Services,IN,BBB,,2026-06-30
CP-00217,Consumer Services Industries Ltd 15,Consumer Services,IN,BBB,,2026-06-30
CP-00218,Drugs and Pharmaceutical Holdings Ltd 1,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00219,Drugs and Pharmaceutical Enterprises 2,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00220,Drugs and Pharmaceutical Holdings Ltd 3,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00221,Drugs and Pharmaceutical & Co 4,Drugs and Pharmaceuticals,IN,A,,2026-06-30
CP-00222,Drugs and Pharmaceutical Enterprises 5,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00223,Drugs and Pharmaceutical & Co 6,Drugs and Pharmaceuticals,IN,A,,2026-06-30
CP-00224,Drugs and Pharmaceutical & Co 7,Drugs and Pharmaceuticals,IN,A,,2026-06-30
CP-00225,Drugs and Pharmaceutical Enterprises 8,Drugs and Pharmaceuticals,IN,BB,,2026-06-30
CP-00226,Drugs and Pharmaceutical Enterprises 9,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00227,Drugs and Pharmaceutical Holdings Ltd 10,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00228,Drugs and Pharmaceutical Corp 11,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00229,Drugs and Pharmaceutical Pvt Ltd 12,Drugs and Pharmaceuticals,IN,BB,,2026-06-30
CP-00230,Drugs and Pharmaceutical & Co 13,Drugs and Pharmaceuticals,IN,BBB,,2026-06-30
CP-00231,Drugs and Pharmaceutical Corp 14,Drugs and Pharmaceuticals,IN,BB,,2026-06-30
CP-00232,Engineering Corp 1,Engineering,IN,AA,,2026-06-30
CP-00233,Engineering Corp 2,Engineering,Overseas,A,,2026-06-30
CP-00234,Engineering Corp 3,Engineering,IN,BBB,,2026-06-30
CP-00235,Engineering Corp 4,Engineering,IN,BBB,,2026-06-30
CP-00236,Engineering Industries Ltd 5,Engineering,IN,A,,2026-06-30
CP-00237,Engineering Industries Ltd 6,Engineering,IN,AA,,2026-06-30
CP-00238,Engineering Industries Ltd 7,Engineering,IN,A,,2026-06-30
CP-00239,Engineering Enterprises 8,Engineering,IN,BBB,,2026-06-30
CP-00240,Engineering Corp 9,Engineering,IN,AA,,2026-06-30
CP-00241,Engineering Enterprises 10,Engineering,IN,BBB,,2026-06-30
CP-00242,Engineering Enterprises 11,Engineering,IN,BBB,,2026-06-30
CP-00243,Engineering Industries Ltd 12,Engineering,IN,AA,,2026-06-30
CP-00244,Engineering Industries Ltd 13,Engineering,IN,AA,,2026-06-30
CP-00245,Engineering Corp 14,Engineering,IN,A,,2026-06-30
CP-00246,Engineering & Co 15,Engineering,IN,A,,2026-06-30
CP-00247,Fertilisers Pvt Ltd 1,Fertilisers & Pesticides,IN,BBB,,2026-06-30
CP-00248,Fertilisers Enterprises 2,Fertilisers & Pesticides,IN,BBB,,2026-06-30
CP-00249,Fertilisers Holdings Ltd 3,Fertilisers & Pesticides,IN,A,,2026-06-30
CP-00250,Fertilisers & Co 4,Fertilisers & Pesticides,IN,AA,,2026-06-30
CP-00251,Fertilisers Pvt Ltd 5,Fertilisers & Pesticides,IN,A,,2026-06-30
CP-00252,Fertilisers Pvt Ltd 6,Fertilisers & Pesticides,IN,A,,2026-06-30
CP-00253,Fertilisers Enterprises 7,Fertilisers & Pesticides,IN,AA,,2026-06-30
CP-00254,Fertilisers Corp 8,Fertilisers & Pesticides,IN,BBB,,2026-06-30
CP-00255,Fertilisers & Co 9,Fertilisers & Pesticides,IN,AA,,2026-06-30
CP-00256,Fertilisers & Co 10,Fertilisers & Pesticides,IN,AA,,2026-06-30
CP-00257,Fertilisers Enterprises 11,Fertilisers & Pesticides,IN,A,,2026-06-30
CP-00258,Fertilisers Industries Ltd 12,Fertilisers & Pesticides,IN,AA,,2026-06-30
CP-00259,Fertilisers Pvt Ltd 13,Fertilisers & Pesticides,IN,A,,2026-06-30
CP-00260,Financial Institutions Pvt Ltd 1,Financial Institutions,IN,AAA,,2026-06-30
CP-00261,Financial Institutions Pvt Ltd 2,Financial Institutions,IN,AA,,2026-06-30
CP-00262,Financial Institutions Industries Ltd 3,Financial Institutions,IN,AA,,2026-06-30
CP-00263,Financial Institutions Corp 4,Financial Institutions,IN,AAA,,2026-06-30
CP-00264,Financial Institutions Holdings Ltd 5,Financial Institutions,IN,AAA,,2026-06-30
CP-00265,Financial Institutions & Co 6,Financial Institutions,IN,AAA,,2026-06-30
CP-00266,Financial Institutions Corp 7,Financial Institutions,IN,AAA,,2026-06-30
CP-00267,Financial Institutions & Co 8,Financial Institutions,IN,AAA,,2026-06-30
CP-00268,Financial Institutions Industries Ltd 9,Financial Institutions,IN,AAA,,2026-06-30
CP-00269,Financial Institutions Holdings Ltd 10,Financial Institutions,IN,AAA,,2026-06-30
CP-00270,Financial Institutions Holdings Ltd 11,Financial Institutions,IN,A,,2026-06-30
CP-00271,Financial Institutions Pvt Ltd 12,Financial Institutions,IN,AAA,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00272,Financial Institutions Enterprises 13,Financial Institutions,IN,AA,,2026-06-30
CP-00273,Financial Institutions & Co 14,Financial Institutions,IN,A,,2026-06-30
CP-00274,Financial Institutions Enterprises 15,Financial Institutions,IN,AA,,2026-06-30
CP-00275,Financial Intermediaries Industries Ltd 1,Financial Intermediaries,IN,AAA,,2026-06-30
CP-00276,Financial Intermediaries Enterprises 2,Financial Intermediaries,IN,AA,,2026-06-30
CP-00277,Financial Intermediaries Holdings Ltd 3,Financial Intermediaries,IN,AAA,,2026-06-30
CP-00278,Financial Intermediaries Corp 4,Financial Intermediaries,IN,AA,,2026-06-30
CP-00279,Financial Intermediaries Enterprises 5,Financial Intermediaries,IN,AA,,2026-06-30
CP-00280,Financial Intermediaries Enterprises 6,Financial Intermediaries,IN,AA,,2026-06-30
CP-00281,Financial Intermediaries Industries Ltd 7,Financial Intermediaries,IN,AAA,,2026-06-30
CP-00282,Financial Intermediaries Corp 8,Financial Intermediaries,IN,AAA,,2026-06-30
CP-00283,Financial Intermediaries Enterprises 9,Financial Intermediaries,IN,AA,,2026-06-30
CP-00284,Financial Intermediaries Corp 10,Financial Intermediaries,Overseas,AAA,,2026-06-30
CP-00285,Financial Intermediaries Enterprises 11,Financial Intermediaries,IN,AA,,2026-06-30
CP-00286,Financial Intermediaries Industries Ltd 12,Financial Intermediaries,IN,AA,,2026-06-30
CP-00287,Financial Intermediaries Holdings Ltd 13,Financial Intermediaries,IN,AAA,,2026-06-30
CP-00288,Financial Intermediaries Enterprises 14,Financial Intermediaries,IN,AAA,,2026-06-30
CP-00289,FMCG Industries Ltd 1,FMCG & Personal Care,IN,AA,,2026-06-30
CP-00290,FMCG Holdings Ltd 2,FMCG & Personal Care,IN,A,,2026-06-30
CP-00291,FMCG Pvt Ltd 3,FMCG & Personal Care,IN,AA,,2026-06-30
CP-00292,FMCG Industries Ltd 4,FMCG & Personal Care,IN,A,,2026-06-30
CP-00293,FMCG & Co 5,FMCG & Personal Care,IN,AA,,2026-06-30
CP-00294,FMCG Industries Ltd 6,FMCG & Personal Care,IN,A,,2026-06-30
CP-00295,FMCG & Co 7,FMCG & Personal Care,IN,BBB,,2026-06-30
CP-00296,FMCG Holdings Ltd 8,FMCG & Personal Care,IN,BBB,,2026-06-30
CP-00297,FMCG Pvt Ltd 9,FMCG & Personal Care,IN,AA,,2026-06-30
CP-00298,FMCG Pvt Ltd 10,FMCG & Personal Care,IN,BBB,,2026-06-30
CP-00299,FMCG Holdings Ltd 11,FMCG & Personal Care,IN,A,,2026-06-30
CP-00300,FMCG Corp 12,FMCG & Personal Care,IN,AA,,2026-06-30
CP-00301,FMCG Corp 13,FMCG & Personal Care,IN,BBB,,2026-06-30
CP-00302,Food and Beverage Enterprises 1,Food and Beverage,IN,BBB,,2026-06-30
CP-00303,Food and Beverage Industries Ltd 2,Food and Beverage,IN,A,,2026-06-30
CP-00304,Food and Beverage Corp 3,Food and Beverage,IN,BB,,2026-06-30
CP-00305,Food and Beverage Enterprises 4,Food and Beverage,IN,BB,,2026-06-30
CP-00306,Food and Beverage Corp 5,Food and Beverage,IN,A,,2026-06-30
