ENTRY_ID,ACCOUNT_CODE,AMOUNT,CURRENCY,POSTING_DATE,COUNTERPARTY_ID,POSITION_ID,INJECTED_CASE_ID
GL-000032,ADVANCES_FUND,11140382896.53,INR,2025-04-06,CP-00026,POS-000084,
GL-000033,ADVANCES_FUND,3225287275.29,INR,2024-05-30,CP-00020,POS-000062,
GL-000034,ADVANCES_FUND,2575511971.91,INR,2026-03-02,CP-00029,POS-000093,
GL-000035,ADVANCES_FUND,21877871792.28,INR,2025-01-03,CP-00020,POS-000061,
GL-000036,ADVANCES_FUND,373428552.27,INR,2024-01-25,CP-00022,POS-000069,
GL-000037,ADVANCES_FUND,866309129.39,INR,2024-08-15,CP-00016,POS-000051,
GL-000038,ADVANCES_FUND,1621243414.8,INR,2024-03-31,CP-00021,POS-000067,
GL-000039,ADVANCES_FUND,19286036426.32,INR,2025-07-20,CP-00019,POS-000059,
GL-000040,ADVANCES_FUND,14224779738.34,INR,2023-09-03,CP-00024,POS-000077,
GL-000041,ADVANCES_FUND,8424308252.7,INR,2026-01-22,CP-00025,POS-000080,
GL-000042,ADVANCES_FUND,9952691000.15,INR,2024-09-06,CP-00017,POS-000054,
GL-000043,ADVANCES_FUND,240070318.69,INR,2025-03-11,CP-00017,POS-000053,
GL-000044,ADVANCES_FUND,1600364731.02,INR,2026-05-27,CP-00021,POS-000066,
GL-000045,ADVANCES_FUND,7594756891.13,INR,2023-09-01,CP-00027,POS-000087,
GL-000046,ADVANCES_FUND,34851120449.45,INR,2024-05-23,CP-00024,POS-000076,
GL-000047,ADVANCES_FUND,20457690090.47,INR,2025-10-24,CP-00026,POS-000083,
GL-000048,ADVANCES_FUND,9763624710.63,INR,2026-05-04,CP-00023,POS-000073,
GL-000049,ADVANCES_FUND,262123724.73,INR,2024-06-20,CP-00029,POS-000092,
GL-000050,ADVANCES_FUND,6433401785.04,INR,2024-11-11,CP-00020,POS-000063,
GL-000051,ADVANCES_FUND,532302974.18,INR,2026-05-07,CP-00022,POS-000070,
GL-000052,ADVANCES_FUND,53749881833.79,INR,2026-06-21,CP-00035,POS-000113,
GL-000053,ADVANCES_FUND,21644408829.17,INR,2024-06-17,CP-00033,POS-000106,
GL-000054,ADVANCES_FUND,17651668920.9,INR,2023-07-11,CP-00041,POS-000135,
GL-000055,ADVANCES_FUND,6555219764.91,INR,2024-10-05,CP-00036,POS-000117,
GL-000056,ADVANCES_FUND,51088713485.32,INR,2025-04-29,CP-00035,POS-000114,
GL-000057,ADVANCES_FUND,10380879908.11,INR,2025-01-09,CP-00039,POS-000128,
GL-000058,ADVANCES_FUND,1199258505.91,INR,2025-11-09,CP-00031,POS-000100,
GL-000059,ADVANCES_FUND,1999801442.14,INR,2025-04-21,CP-00041,POS-000137,
GL-000060,ADVANCES_FUND,508861735.05,INR,2023-09-09,CP-00034,POS-000109,
GL-000061,ADVANCES_FUND,18021543919.62,INR,2024-08-29,CP-00030,POS-000097,
GL-000062,ADVANCES_FUND,66825386.57,INR,2025-03-16,CP-00040,POS-000132,
GL-000063,ADVANCES_FUND,703213728.17,INR,2026-02-14,CP-00034,POS-000108,
GL-000064,ADVANCES_FUND,7768510545.27,INR,2023-10-12,CP-00043,POS-000143,
GL-000065,ADVANCES_FUND,1645810598.52,INR,2026-01-04,CP-00031,POS-000099,
GL-000066,ADVANCES_FUND,504112670.29,INR,2024-05-01,CP-00031,POS-000101,
GL-000067,ADVANCES_FUND,22396522425.3,INR,2025-08-03,CP-00032,POS-000103,
GL-000068,ADVANCES_FUND,6975817401.79,INR,2025-08-29,CP-00037,POS-000120,
GL-000069,ADVANCES_FUND,2243830141.39,INR,2025-12-25,CP-00040,POS-000131,
GL-000070,ADVANCES_FUND,541221169.47,INR,2025-05-16,CP-00030,POS-000096,
GL-000071,ADVANCES_FUND,660723203.84,INR,2024-06-19,CP-00038,POS-000124,
GL-000072,ADVANCES_FUND,4374896039.09,INR,2025-03-31,CP-00042,POS-000140,
GL-000073,ADVANCES_FUND,894281530.57,INR,2026-06-03,CP-00038,POS-000125,
GL-000074,ADVANCES_FUND,1419944206.43,INR,2025-09-14,CP-00041,POS-000136,
GL-000075,ADVANCES_FUND,130734718.11,INR,2026-01-06,CP-00037,POS-000122,
GL-000076,ADVANCES_FUND,245539051462.76,INR,2025-04-17,CP-00035,POS-000112,
GL-000077,ADVANCES_FUND,455046029.94,INR,2023-10-16,CP-00040,POS-000130,
GL-000078,ADVANCES_FUND,9781620397.57,INR,2023-08-11,CP-00037,POS-000121,
GL-000079,ADVANCES_FUND,10981327775.06,INR,2025-08-14,CP-00057,POS-000187,
GL-000080,ADVANCES_FUND,13076600698.25,INR,2023-09-08,CP-00052,POS-000172,
GL-000081,ADVANCES_FUND,199216067.3,INR,2024-12-08,CP-00049,POS-000163,
GL-000082,ADVANCES_FUND,871650266.79,INR,2024-08-03,CP-00048,POS-000160,
GL-000083,ADVANCES_FUND,1822678125.08,INR,2025-09-20,CP-00056,POS-000183,
GL-000084,ADVANCES_FUND,2585164520.1,INR,2024-05-19,CP-00049,POS-000162,
GL-000085,ADVANCES_FUND,2153573541.59,INR,2025-01-14,CP-00053,POS-000175,
GL-000086,ADVANCES_FUND,1864719013.1,INR,2025-11-03,CP-00050,POS-000166,
GL-000087,ADVANCES_FUND,1005100113.98,INR,2026-01-21,CP-00050,POS-000167,
GL-000088,ADVANCES_FUND,6027498667.05,INR,2025-04-24,CP-00044,POS-000145,
GL-000089,ADVANCES_FUND,649213058.41,INR,2024-10-19,CP-00054,POS-000179,
GL-000090,ADVANCES_FUND,52783439.19,INR,2025-08-28,CP-00045,POS-000148,
GL-000091,ADVANCES_FUND,107731244433.1,INR,2025-10-05,CP-00047,POS-000155,
GL-000092,ADVANCES_FUND,235864966.44,INR,2025-09-08,CP-00045,POS-000149,
GL-000093,ADVANCES_FUND,2908268852.92,INR,2025-08-13,CP-00048,POS-000159,
GL-000094,ADVANCES_FUND,81943411.85,INR,2024-04-12,CP-00053,POS-000176,
GL-000095,ADVANCES_FUND,2262672792.68,INR,2024-12-31,CP-00046,POS-000153,
GL-000096,ADVANCES_FUND,4557183226.09,INR,2025-02-02,CP-00055,POS-000181,
GL-000097,ADVANCES_FUND,35343770962.55,INR,2026-01-04,CP-00051,POS-000170,
GL-000098,ADVANCES_FUND,1751087375.87,INR,2024-11-11,CP-00050,POS-000168,
GL-000099,ADVANCES_FUND,1231257233.01,INR,2023-08-12,CP-00045,POS-000150,
GL-000100,ADVANCES_FUND,2721377624.03,INR,2024-04-05,CP-00057,POS-000185,
GL-000101,ADVANCES_FUND,10260702422.35,INR,2025-02-26,CP-00057,POS-000186,
GL-000102,ADVANCES_FUND,668620966.97,INR,2025-07-29,CP-00046,POS-000152,
GL-000103,ADVANCES_FUND,414580446.24,INR,2025-06-10,CP-00048,POS-000158,
GL-000104,ADVANCES_FUND,58540043218.94,INR,2025-06-30,CP-00065,POS-000217,
GL-000105,ADVANCES_FUND,1100596046.51,INR,2026-06-25,CP-00060,POS-000199,
GL-000106,ADVANCES_FUND,1010950360.58,INR,2024-06-08,CP-00068,POS-000228,
GL-000107,ADVANCES_FUND,237233179.69,INR,2025-05-10,CP-00067,POS-000223,
GL-000108,ADVANCES_FUND,37144652.48,INR,2026-05-08,CP-00058,POS-000190,
GL-000109,ADVANCES_FUND,12590732541.79,INR,2023-07-24,CP-00067,POS-000224,
GL-000110,ADVANCES_FUND,9820208159.66,INR,2025-12-06,CP-00071,POS-000238,
GL-000111,ADVANCES_FUND,1013794625.18,INR,2024-09-18,CP-00073,POS-000246,
GL-000112,ADVANCES_FUND,5484279801.77,INR,2025-01-24,CP-00074,POS-000251,
GL-000113,ADVANCES_FUND,2240027577.08,INR,2025-01-31,CP-00076,POS-000259,
GL-000114,ADVANCES_FUND,4716329052.87,INR,2023-08-25,CP-00072,POS-000243,
GL-000115,ADVANCES_FUND,27424656851.99,INR,2025-05-27,CP-00076,POS-000258,
GL-000116,ADVANCES_FUND,8275076468.69,INR,2025-04-21,CP-00073,POS-000247,
GL-000117,ADVANCES_FUND,34575986667.65,INR,2024-08-16,CP-00074,POS-000250,
GL-000118,ADVANCES_FUND,2264606229.55,INR,2025-12-26,CP-00073,POS-000245,
GL-000119,ADVANCES_FUND,190749896519.59,INR,2024-01-05,CP-00079,POS-000266,
GL-000120,ADVANCES_FUND,22905832918.33,INR,2025-10-22,CP-00080,POS-000270,
GL-000121,ADVANCES_FUND,17705472428.42,INR,2025-10-09,CP-00078,POS-000264,
GL-000122,ADVANCES_FUND,40458776967.7,INR,2026-06-19,CP-00085,POS-000286,
GL-000123,ADVANCES_FUND,82532243373.48,INR,2025-06-20,CP-00080,POS-000269,
GL-000124,ADVANCES_FUND,6351925415.38,INR,2024-09-30,CP-00085,POS-000285,
GL-000125,ADVANCES_FUND,9769995843.79,INR,2024-05-20,CP-00081,POS-000274,
GL-000126,ADVANCES_FUND,12523081049.07,INR,2023-10-21,CP-00084,POS-000282,
GL-000127,ADVANCES_FUND,1172398300.87,INR,2024-03-01,CP-00076,POS-000257,
GL-000128,ADVANCES_FUND,745035314.95,INR,2025-07-14,CP-00083,POS-000280,
GL-000129,ADVANCES_FUND,6101087001.48,INR,2024-01-09,CP-00072,POS-000241,
GL-000130,ADVANCES_FUND,4274132915.59,INR,2025-11-29,CP-00083,POS-000279,
GL-000131,ADVANCES_FUND,6876964772.51,INR,2025-11-13,CP-00072,POS-000242,
GL-000132,ADVANCES_FUND,19016847209.96,INR,2025-06-03,CP-00077,POS-000262,
GL-000133,ADVANCES_FUND,935247794.48,INR,2024-11-17,CP-00084,POS-000283,
GL-000134,ADVANCES_FUND,11792127377.15,INR,2025-11-20,CP-00075,POS-000254,
GL-000135,ADVANCES_FUND,41316995394.29,INR,2023-10-19,CP-00082,POS-000276,
GL-000136,ADVANCES_FUND,10579900816.73,INR,2025-09-08,CP-00081,POS-000273,
GL-000137,ADVANCES_FUND,10313373151.8,INR,2025-04-27,CP-00081,POS-000272,
GL-000138,ADVANCES_FUND,23519151035.98,INR,2024-05-20,CP-00087,POS-000292,
GL-000139,ADVANCES_FUND,173292735960.41,INR,2024-09-11,CP-00092,POS-000310,
GL-000140,ADVANCES_FUND,26725496027.94,INR,2026-06-10,CP-00098,POS-000329,
GL-000141,ADVANCES_FUND,22568909443.84,INR,2026-05-12,CP-00095,POS-000321,
GL-000142,ADVANCES_FUND,6689307447.6,INR,2024-06-26,CP-00088,POS-000295,
GL-000143,ADVANCES_FUND,2105054451.34,INR,2023-12-06,CP-00088,POS-000297,
GL-000144,ADVANCES_FUND,1222721706.41,INR,2025-12-16,CP-00096,POS-000324,
GL-000145,ADVANCES_FUND,4722333365.04,INR,2026-05-11,CP-00089,POS-000300,
GL-000146,ADVANCES_FUND,116826371262.8,INR,2025-04-14,CP-00100,POS-000337,
GL-000147,ADVANCES_FUND,4741308632.13,INR,2025-07-22,CP-00098,POS-000330,
GL-000148,ADVANCES_FUND,26314447421.92,INR,2023-07-20,CP-00094,POS-000318,
GL-000149,ADVANCES_FUND,13176129661.5,INR,2023-09-21,CP-00091,POS-000306,
GL-000150,ADVANCES_FUND,21293973310.59,INR,2024-10-27,CP-00092,POS-000311,
GL-000151,ADVANCES_FUND,940814024.79,INR,2023-08-26,CP-00093,POS-000315,
GL-000152,ADVANCES_FUND,5821661153.58,INR,2025-10-23,CP-00088,POS-000296,
GL-000153,ADVANCES_FUND,77779507606.79,INR,2023-07-10,CP-00095,POS-000322,
GL-000154,ADVANCES_FUND,10270830903.13,INR,2025-02-26,CP-00097,POS-000326,
GL-000155,ADVANCES_FUND,2951345367.52,INR,2025-01-25,CP-00093,POS-000314,
GL-000156,ADVANCES_FUND,1360331695.91,INR,2026-05-06,CP-00089,POS-000301,
GL-000157,ADVANCES_FUND,9985560421.28,INR,2025-12-18,CP-00091,POS-000307,
GL-000158,ADVANCES_FUND,6032301150.12,INR,2025-11-30,CP-00090,POS-000304,
GL-000159,ADVANCES_FUND,9423243545.36,INR,2025-01-12,CP-00099,POS-000333,
GL-000160,ADVANCES_FUND,12639807487.52,INR,2025-12-05,CP-00086,POS-000289,
GL-000161,ADVANCES_FUND,55444269715.2,INR,2026-03-10,CP-00099,POS-000332,
GL-000162,ADVANCES_FUND,10386587201.29,INR,2024-09-06,CP-00099,POS-000334,
GL-000163,ADVANCES_FUND,5425543199.18,INR,2025-10-05,CP-00101,POS-000339,
GL-000164,ADVANCES_FUND,1027736443.36,INR,2023-12-20,CP-00111,POS-000376,
GL-000165,ADVANCES_FUND,258172220.71,INR,2024-10-14,CP-00107,POS-000361,
GL-000166,ADVANCES_FUND,56653371720.66,INR,2025-03-16,CP-00105,POS-000351,
GL-000167,ADVANCES_FUND,2026073089.26,INR,2026-06-16,CP-00112,POS-000381,
GL-000168,ADVANCES_FUND,13832343640.13,INR,2024-02-24,CP-00108,POS-000364,
GL-000169,ADVANCES_FUND,100632361757.76,INR,2025-02-06,CP-00108,POS-000366,
GL-000170,ADVANCES_FUND,3266870832.88,INR,2024-11-10,CP-00111,POS-000375,
GL-000171,ADVANCES_FUND,1540450011.65,INR,2023-12-20,CP-00114,POS-000386,
GL-000172,ADVANCES_FUND,32745717715.41,INR,2024-10-23,CP-00115,POS-000390,
GL-000173,ADVANCES_FUND,5510317859.91,INR,2023-09-18,CP-00109,POS-000369,
GL-000174,ADVANCES_FUND,3169509043.03,INR,2024-10-26,CP-00115,POS-000388,
GL-000175,ADVANCES_FUND,4294433795.81,INR,2025-06-20,CP-00112,POS-000380,
GL-000176,ADVANCES_FUND,1039549359.47,INR,2023-09-24,CP-00107,POS-000359,
GL-000177,ADVANCES_FUND,26819889479.35,INR,2024-07-27,CP-00103,POS-000344,
GL-000178,ADVANCES_FUND,24223080785.97,INR,2024-03-20,CP-00102,POS-000341,
GL-000179,ADVANCES_FUND,133508372981.29,INR,2025-10-25,CP-00110,POS-000372,
GL-000180,ADVANCES_FUND,15817038347.76,INR,2024-06-26,CP-00106,POS-000355,
GL-000181,ADVANCES_FUND,892502159.96,INR,2024-10-25,CP-00112,POS-000379,
GL-000182,ADVANCES_FUND,8761300140.48,INR,2026-03-07,CP-00103,POS-000345,
GL-000183,ADVANCES_FUND,1409005584.94,INR,2025-09-25,CP-00107,POS-000360,
GL-000184,ADVANCES_FUND,38373076624.31,INR,2023-10-06,CP-00115,POS-000389,
GL-000185,ADVANCES_FUND,75643510807.57,INR,2024-10-13,CP-00105,POS-000352,
GL-000186,ADVANCES_FUND,8678904253.34,INR,2024-03-05,CP-00113,POS-000383,
GL-000187,ADVANCES_FUND,9697870785.1,INR,2025-12-24,CP-00113,POS-000384,
GL-000188,ADVANCES_FUND,12788334053.38,INR,2025-11-04,CP-00106,POS-000356,
GL-000189,ADVANCES_FUND,3717618111.16,INR,2023-09-04,CP-00108,POS-000365,
GL-000190,ADVANCES_FUND,12999745196.15,INR,2025-03-27,CP-00104,POS-000348,
GL-000191,ADVANCES_FUND,17702643121.0,INR,2024-08-28,CP-00121,POS-000410,
GL-000192,ADVANCES_FUND,7372436673.29,INR,2025-05-16,CP-00118,POS-000399,
GL-000193,ADVANCES_FUND,3750571054.37,INR,2024-07-11,CP-00119,POS-000404,
GL-000194,ADVANCES_FUND,3589299565.39,INR,2026-01-04,CP-00117,POS-000396,
GL-000195,ADVANCES_FUND,480446642.51,INR,2024-01-06,CP-00120,POS-000407,
GL-000196,ADVANCES_FUND,2447352281.51,INR,2025-03-28,CP-00120,POS-000406,
GL-000197,ADVANCES_FUND,11793363086.49,INR,2025-03-27,CP-00119,POS-000402,
GL-000198,ADVANCES_FUND,8416830793.76,INR,2024-02-01,CP-00124,POS-000421,
GL-000199,ADVANCES_FUND,2415877082.44,INR,2024-11-07,CP-00122,POS-000414,
GL-000200,ADVANCES_FUND,1288058493.9,INR,2026-06-29,CP-00127,POS-000430,
GL-000201,ADVANCES_FUND,2084069683.12,INR,2024-10-05,CP-00126,POS-000428,
GL-000202,ADVANCES_FUND,9141272634.28,INR,2024-07-23,CP-00124,POS-000422,
GL-000203,ADVANCES_FUND,335986199.67,INR,2025-07-24,CP-00127,POS-000431,
GL-000204,ADVANCES_FUND,970867134.65,INR,2025-12-15,CP-00129,POS-000436,
GL-000205,ADVANCES_FUND,7577219582.47,INR,2026-05-03,CP-00119,POS-000403,
GL-000206,ADVANCES_FUND,457489459.85,INR,2023-12-17,CP-00125,POS-000425,
GL-000207,ADVANCES_FUND,1554020811.27,INR,2026-06-26,CP-00129,POS-000437,
GL-000208,ADVANCES_FUND,27499168315.92,INR,2024-09-30,CP-00116,POS-000393,
GL-000209,ADVANCES_FUND,1094354679.75,INR,2023-12-28,CP-00121,POS-000409,
GL-000210,ADVANCES_FUND,2256708061.19,INR,2025-06-10,CP-00128,POS-000434,
GL-000211,ADVANCES_FUND,80716575.96,INR,2025-11-23,CP-00117,POS-000397,
GL-000212,ADVANCES_FUND,6145000890.73,INR,2024-05-09,CP-00123,POS-000418,
GL-000213,ADVANCES_FUND,344970429.36,INR,2024-08-09,CP-00129,POS-000438,
GL-000214,ADVANCES_FUND,1517627512.32,INR,2026-06-14,CP-00122,POS-000413,
GL-000215,ADVANCES_FUND,5194297574.97,INR,2024-10-07,CP-00122,POS-000415,
GL-000216,ADVANCES_FUND,460651659.83,INR,2026-06-30,CP-00126,POS-000427,
GL-000217,ADVANCES_FUND,2484947047.27,INR,2026-01-13,CP-00140,POS-000468,
GL-000218,ADVANCES_FUND,5189414335.09,INR,2025-02-26,CP-00130,POS-000440,
GL-000219,ADVANCES_FUND,5352244443.91,INR,2026-06-01,CP-00142,POS-000475,
GL-000220,ADVANCES_FUND,1144945585.92,INR,2024-08-09,CP-00140,POS-000469,
GL-000221,ADVANCES_FUND,14568474502.88,INR,2024-10-20,CP-00135,POS-000455,
GL-000222,ADVANCES_FUND,5430753126.77,INR,2024-12-16,CP-00136,POS-000457,
GL-000223,ADVANCES_FUND,1836967393.2,INR,2026-05-28,CP-00137,POS-000459,
GL-000224,ADVANCES_FUND,161894044.2,INR,2024-03-17,CP-00133,POS-000449,
GL-000225,ADVANCES_FUND,2023985631.24,INR,2026-05-23,CP-00132,POS-000447,
GL-000226,ADVANCES_FUND,459886103.2,INR,2025-09-16,CP-00132,POS-000445,
GL-000227,ADVANCES_FUND,674342080.6,INR,2025-04-23,CP-00132,POS-000446,
GL-000228,ADVANCES_FUND,5414647429.19,INR,2024-05-23,CP-00134,POS-000452,
GL-000229,ADVANCES_FUND,1887127327.46,INR,2025-04-10,CP-00131,POS-000442,
GL-000230,ADVANCES_FUND,11802482142.46,INR,2024-01-18,CP-00139,POS-000465,
GL-000231,ADVANCES_FUND,10561584990.34,INR,2023-09-11,CP-00137,POS-000460,
GL-000232,ADVANCES_FUND,4166718946.23,INR,2024-03-15,CP-00141,POS-000472,
GL-000233,ADVANCES_FUND,13537058901.57,INR,2026-05-19,CP-00142,POS-000476,
GL-000234,ADVANCES_FUND,626799082.63,INR,2024-03-08,CP-00140,POS-000470,
GL-000235,ADVANCES_FUND,4406662348.67,INR,2025-11-17,CP-00138,POS-000462,
GL-000236,ADVANCES_FUND,335406865.05,INR,2023-11-01,CP-00133,POS-000450,
GL-000237,ADVANCES_FUND,239954586.98,INR,2023-07-25,CP-00139,POS-000466,
GL-000238,ADVANCES_FUND,3147203085.17,INR,2026-03-30,CP-00141,POS-000473,
GL-000239,ADVANCES_FUND,46760627447.67,INR,2025-11-11,CP-00146,POS-000488,
GL-000240,ADVANCES_FUND,3454593268.46,INR,2025-12-22,CP-00148,POS-000496,
GL-000241,ADVANCES_FUND,19573927928.76,INR,2024-04-10,CP-00145,POS-000485,
GL-000242,ADVANCES_FUND,54633525255.94,INR,2025-11-21,CP-00144,POS-000481,
GL-000243,ADVANCES_FUND,52157762.22,INR,2024-06-27,CP-00147,POS-000492,
GL-000244,ADVANCES_FUND,28939630144.21,INR,2025-06-17,CP-00150,POS-000504,
GL-000245,ADVANCES_FUND,12862521705.94,INR,2024-10-20,CP-00156,POS-000527,
GL-000246,ADVANCES_FUND,7225291330.27,INR,2023-11-17,CP-00151,POS-000507,
GL-000247,ADVANCES_FUND,1936578023.03,INR,2023-11-28,CP-00147,POS-000491,
GL-000248,ADVANCES_FUND,13047122766.99,INR,2026-06-18,CP-00148,POS-000495,
GL-000249,ADVANCES_FUND,3663411099.78,INR,2024-02-23,CP-00149,POS-000502,
GL-000250,ADVANCES_FUND,6515306981.66,INR,2023-08-19,CP-00152,POS-000510,
GL-000251,ADVANCES_FUND,1445796825.19,INR,2024-06-29,CP-00152,POS-000512,
GL-000252,ADVANCES_FUND,50362054780.74,INR,2025-12-08,CP-00150,POS-000505,
GL-000253,ADVANCES_FUND,3358907457.01,INR,2024-07-03,CP-00152,POS-000511,
GL-000254,ADVANCES_FUND,8158859981.75,INR,2024-08-03,CP-00155,POS-000525,
GL-000255,ADVANCES_FUND,1392103223.18,INR,2024-07-05,CP-00143,POS-000478,
GL-000256,ADVANCES_FUND,1395993920.79,INR,2025-03-18,CP-00144,POS-000482,
GL-000257,ADVANCES_FUND,72492177.35,INR,2024-12-02,CP-00149,POS-000501,
GL-000258,ADVANCES_FUND,4637280884.2,INR,2024-07-17,CP-00154,POS-000520,
GL-000259,ADVANCES_FUND,2193970861.74,INR,2025-02-08,CP-00154,POS-000521,
GL-000260,ADVANCES_FUND,2096572066.02,INR,2024-03-05,CP-00153,POS-000515,
GL-000261,ADVANCES_FUND,1384287366.4,INR,2024-05-14,CP-00153,POS-000516,
GL-000262,ADVANCES_FUND,2512661400.2,INR,2025-08-03,CP-00148,POS-000497,
GL-000263,ADVANCES_FUND,10665478507.62,INR,2024-08-31,CP-00155,POS-000524,
GL-000264,ADVANCES_FUND,135046832.88,INR,2024-03-24,CP-00154,POS-000519,
GL-000265,ADVANCES_FUND,23779059791.37,INR,2025-04-13,CP-00160,POS-000540,
GL-000266,ADVANCES_FUND,1568835763.33,INR,2025-11-20,CP-00161,POS-000542,
GL-000267,ADVANCES_FUND,4670300552.75,INR,2025-08-23,CP-00166,POS-000558,
GL-000268,ADVANCES_FUND,439155921.62,INR,2024-09-07,CP-00169,POS-000567,
GL-000269,ADVANCES_FUND,121458723682.15,INR,2023-08-24,CP-00164,POS-000552,
GL-000270,ADVANCES_FUND,305962036.08,INR,2024-02-26,CP-00158,POS-000534,
GL-000271,ADVANCES_FUND,235331089277.79,INR,2024-11-08,CP-00164,POS-000551,
GL-000272,ADVANCES_FUND,802328375.61,INR,2026-01-30,CP-00168,POS-000564,
GL-000273,ADVANCES_FUND,15580279.05,INR,2025-10-08,CP-00163,POS-000548,
GL-000274,ADVANCES_FUND,151508030.51,INR,2025-03-05,CP-00163,POS-000549,
GL-000275,ADVANCES_FUND,1662515872.86,INR,2025-10-03,CP-00162,POS-000545,
GL-000276,ADVANCES_FUND,307062354.16,INR,2024-06-06,CP-00157,POS-000530,
GL-000277,ADVANCES_FUND,55583575.97,INR,2025-05-26,CP-00169,POS-000566,
GL-000278,ADVANCES_FUND,41319029.04,INR,2023-12-30,CP-00158,POS-000533,
GL-000279,ADVANCES_FUND,2805034781.75,INR,2025-09-09,CP-00170,POS-000570,
GL-000280,ADVANCES_FUND,435597454.64,INR,2025-01-03,CP-00169,POS-000568,
GL-000281,ADVANCES_FUND,248904188.92,INR,2024-05-09,CP-00171,POS-000572,
GL-000282,ADVANCES_FUND,139878106.67,INR,2025-11-17,CP-00167,POS-000562,
GL-000283,ADVANCES_FUND,321859338.51,INR,2024-03-19,CP-00165,POS-000555,
GL-000284,ADVANCES_FUND,1202073504.31,INR,2024-09-27,CP-00157,POS-000531,
GL-000285,ADVANCES_FUND,3339971993.25,INR,2024-07-21,CP-00162,POS-000544,
GL-000286,ADVANCES_FUND,5353756089.68,INR,2025-02-18,CP-00159,POS-000537,
GL-000287,ADVANCES_FUND,246520258.62,INR,2026-04-19,CP-00184,POS-000616,
GL-000288,ADVANCES_FUND,146403000.66,INR,2026-01-31,CP-00177,POS-000591,
GL-000289,ADVANCES_FUND,6583075735.73,INR,2024-09-20,CP-00172,POS-000575,
GL-000290,ADVANCES_FUND,25286805418.37,INR,2025-11-18,CP-00173,POS-000578,
GL-000291,ADVANCES_FUND,225066767.33,INR,2026-05-21,CP-00181,POS-000605,
GL-000292,ADVANCES_FUND,2316751447.47,INR,2025-12-17,CP-00178,POS-000595,
GL-000293,ADVANCES_FUND,2845168181.16,INR,2024-03-06,CP-00185,POS-000620,
GL-000294,ADVANCES_FUND,1072899930.49,INR,2024-09-26,CP-00180,POS-000603,
GL-000295,ADVANCES_FUND,86532659012.67,INR,2025-05-08,CP-00185,POS-000619,
