POSITION_ID,INSTRUMENT_TYPE,NOTIONAL,CURRENCY,EXPOSURE_CLASS,COUNTERPARTY_ID,AS_OF_DATE
POS-000037,Letter of Credit,255918316.57,INR,BELOW_100,CP-00011,2026-06-30
POS-000038,Term Loan,27307393193.42,INR,ABOVE_100,CP-00012,2026-06-30
POS-000039,Bank Guarantee,278216397.6,INR,BELOW_100,CP-00012,2026-06-30
POS-000040,Investment - Debenture/Bond,54318545336.01,INR,AT_100,CP-00013,2026-06-30
POS-000041,Derivative - Interest Rate Swap,66601098.34,INR,AT_100,CP-00013,2026-06-30
POS-000042,Bank Guarantee,4344938.98,INR,BELOW_100,CP-00013,2026-06-30
POS-000043,Term Loan,946363036.93,INR,BELOW_100,CP-00014,2026-06-30
POS-000044,Investment - Debenture/Bond,7470783882.54,INR,AT_100,CP-00014,2026-06-30
POS-000045,Bank Guarantee,122392199.09,INR,ABOVE_100,CP-00014,2026-06-30
POS-000046,Term Loan,1379259762.93,INR,BELOW_100,CP-00015,2026-06-30
POS-000047,Cash Credit,30402417904.59,INR,BELOW_100,CP-00015,2026-06-30
POS-000048,Term Loan,564340902.63,INR,ABOVE_100,CP-00015,2026-06-30
POS-000049,Bank Guarantee,189805421.75,INR,BELOW_100,CP-00015,2026-06-30
POS-000050,Letter of Credit,244691860.28,INR,AT_100,CP-00015,2026-06-30
POS-000051,Cash Credit,866309129.39,INR,AT_100,CP-00016,2026-06-30
POS-000052,Letter of Credit,231071257.71,INR,AT_100,CP-00016,2026-06-30
POS-000053,Investment - Debenture/Bond,240070318.69,INR,AT_100,CP-00017,2026-06-30
POS-000054,Cash Credit,9952691000.15,INR,BELOW_100,CP-00017,2026-06-30
POS-000055,Derivative - Interest Rate Swap,182353308.04,INR,ABOVE_100,CP-00017,2026-06-30
POS-000056,Bank Guarantee,58194769.37,INR,BELOW_100,CP-00017,2026-06-30
POS-000057,Term Loan,6093254599.56,INR,BELOW_100,CP-00018,2026-06-30
POS-000058,Derivative - FX Forward,211565161.36,INR,ABOVE_100,CP-00018,2026-06-30
POS-000059,Investment - Debenture/Bond,19286036426.32,INR,BELOW_100,CP-00019,2026-06-30
POS-000060,Bank Guarantee,140043781.46,INR,ABOVE_100,CP-00019,2026-06-30
POS-000061,Term Loan,21877871792.28,INR,ABOVE_100,CP-00020,2026-06-30
POS-000062,Term Loan,3225287275.29,INR,ABOVE_100,CP-00020,2026-06-30
POS-000063,Investment - Debenture/Bond,6433401785.04,INR,BELOW_100,CP-00020,2026-06-30
POS-000064,Bank Guarantee,1723632002.11,INR,AT_100,CP-00020,2026-06-30
POS-000065,Bank Guarantee,1797577573.55,INR,BELOW_100,CP-00020,2026-06-30
POS-000066,Term Loan,1600364731.02,INR,AT_100,CP-00021,2026-06-30
POS-000067,Investment - Debenture/Bond,1621243414.8,INR,ABOVE_100,CP-00021,2026-06-30
POS-000068,Derivative - FX Forward,640754582.77,INR,AT_100,CP-00021,2026-06-30
POS-000069,Term Loan,373428552.27,INR,AT_100,CP-00022,2026-06-30
POS-000070,Term Loan,532302974.18,INR,BELOW_100,CP-00022,2026-06-30
POS-000071,Bank Guarantee,77902504.73,INR,ABOVE_100,CP-00022,2026-06-30
POS-000072,Letter of Credit,474403821.32,INR,ABOVE_100,CP-00022,2026-06-30
POS-000073,Term Loan,9763624710.63,INR,AT_100,CP-00023,2026-06-30
POS-000074,Bank Guarantee,619343597.06,INR,BELOW_100,CP-00023,2026-06-30
POS-000075,Derivative - Interest Rate Swap,851617975.06,INR,ABOVE_100,CP-00023,2026-06-30
POS-000076,Cash Credit,34851120449.45,INR,ABOVE_100,CP-00024,2026-06-30
POS-000077,Term Loan,14224779738.34,INR,AT_100,CP-00024,2026-06-30
POS-000078,Bank Guarantee,48037537.61,INR,ABOVE_100,CP-00024,2026-06-30
POS-000079,Derivative - FX Forward,246083962.17,INR,AT_100,CP-00024,2026-06-30
POS-000080,Term Loan,8424308252.7,INR,AT_100,CP-00025,2026-06-30
POS-000081,Bank Guarantee,1966178398.03,INR,AT_100,CP-00025,2026-06-30
POS-000082,Bank Guarantee,2281612125.27,INR,AT_100,CP-00025,2026-06-30
POS-000083,Term Loan,20457690090.47,INR,BELOW_100,CP-00026,2026-06-30
POS-000084,Investment - Debenture/Bond,11140382896.53,INR,ABOVE_100,CP-00026,2026-06-30
POS-000085,Cash Credit,2908824071.14,INR,BELOW_100,CP-00026,2026-06-30
POS-000086,Bank Guarantee,2276556498.95,INR,ABOVE_100,CP-00026,2026-06-30
POS-000087,Cash Credit,7594756891.13,INR,AT_100,CP-00027,2026-06-30
POS-000088,Bank Guarantee,13802109.08,INR,ABOVE_100,CP-00027,2026-06-30
POS-000089,Derivative - Interest Rate Swap,461117799.38,INR,BELOW_100,CP-00027,2026-06-30
POS-000090,Cash Credit,15700015203.98,INR,ABOVE_100,CP-00028,2026-06-30
POS-000091,Letter of Credit,310371191.3,INR,ABOVE_100,CP-00028,2026-06-30
POS-000092,Term Loan,262123724.73,INR,ABOVE_100,CP-00029,2026-06-30
POS-000093,Cash Credit,2575511971.91,INR,AT_100,CP-00029,2026-06-30
POS-000094,Bank Guarantee,610048272.27,INR,AT_100,CP-00029,2026-06-30
POS-000095,Bank Guarantee,153131771.39,INR,BELOW_100,CP-00029,2026-06-30
POS-000096,Term Loan,541221169.47,INR,BELOW_100,CP-00030,2026-06-30
POS-000097,Term Loan,18021543919.62,INR,BELOW_100,CP-00030,2026-06-30
POS-000098,Letter of Credit,40145150.18,INR,BELOW_100,CP-00030,2026-06-30
POS-000099,Investment - Debenture/Bond,1645810598.52,INR,AT_100,CP-00031,2026-06-30
POS-000100,Investment - Debenture/Bond,1199258505.91,INR,AT_100,CP-00031,2026-06-30
POS-000101,Term Loan,504112670.29,INR,BELOW_100,CP-00031,2026-06-30
POS-000102,Bank Guarantee,59760175.62,INR,AT_100,CP-00031,2026-06-30
POS-000103,Cash Credit,22396522425.3,INR,ABOVE_100,CP-00032,2026-06-30
POS-000104,Letter of Credit,12222512.84,INR,ABOVE_100,CP-00032,2026-06-30
POS-000105,Derivative - Interest Rate Swap,23508316.75,INR,ABOVE_100,CP-00032,2026-06-30
POS-000106,Investment - Debenture/Bond,21644408829.17,INR,ABOVE_100,CP-00033,2026-06-30
POS-000107,Bank Guarantee,47190355.13,INR,BELOW_100,CP-00033,2026-06-30
POS-000108,Term Loan,703213728.17,INR,BELOW_100,CP-00034,2026-06-30
POS-000109,Investment - Debenture/Bond,508861735.05,INR,ABOVE_100,CP-00034,2026-06-30
POS-000110,Bank Guarantee,3176662.82,INR,BELOW_100,CP-00034,2026-06-30
POS-000111,Letter of Credit,2720572.71,INR,ABOVE_100,CP-00034,2026-06-30
POS-000112,Cash Credit,245539051462.76,INR,BELOW_100,CP-00035,2026-06-30
POS-000113,Term Loan,90484043298.42,INR,AT_100,CP-00035,2026-06-30
POS-000114,Cash Credit,51088713485.32,INR,BELOW_100,CP-00035,2026-06-30
POS-000115,Bank Guarantee,88449572.98,INR,BELOW_100,CP-00035,2026-06-30
POS-000116,Letter of Credit,75846342.77,INR,BELOW_100,CP-00035,2026-06-30
POS-000117,Term Loan,6555219764.91,INR,BELOW_100,CP-00036,2026-06-30
POS-000118,Derivative - Interest Rate Swap,301317960.17,INR,BELOW_100,CP-00036,2026-06-30
POS-000119,Bank Guarantee,71120449.07,INR,AT_100,CP-00036,2026-06-30
POS-000120,Cash Credit,6975817401.79,INR,BELOW_100,CP-00037,2026-06-30
POS-000121,Term Loan,9781620397.57,INR,ABOVE_100,CP-00037,2026-06-30
POS-000122,Term Loan,130734718.11,INR,BELOW_100,CP-00037,2026-06-30
POS-000123,Letter of Credit,44485837.59,INR,AT_100,CP-00037,2026-06-30
POS-000124,Term Loan,660723203.84,INR,BELOW_100,CP-00038,2026-06-30
POS-000125,Cash Credit,894281530.57,INR,BELOW_100,CP-00038,2026-06-30
POS-000126,Term Loan,851038535.37,INR,BELOW_100,CP-00038,2026-06-30
POS-000127,Bank Guarantee,742003160.89,INR,ABOVE_100,CP-00038,2026-06-30
POS-000128,Term Loan,10380879908.11,INR,ABOVE_100,CP-00039,2026-06-30
POS-000129,Bank Guarantee,14338804.74,INR,AT_100,CP-00039,2026-06-30
POS-000130,Term Loan,455046029.94,INR,ABOVE_100,CP-00040,2026-06-30
POS-000131,Term Loan,2243830141.39,INR,AT_100,CP-00040,2026-06-30
POS-000132,Cash Credit,66825386.57,INR,AT_100,CP-00040,2026-06-30
POS-000133,Derivative - FX Forward,461460757.41,INR,BELOW_100,CP-00040,2026-06-30
POS-000134,Bank Guarantee,2176591.77,INR,AT_100,CP-00040,2026-06-30
POS-000135,Term Loan,17651668920.9,INR,AT_100,CP-00041,2026-06-30
POS-000136,Term Loan,1419944206.43,INR,ABOVE_100,CP-00041,2026-06-30
POS-000137,Term Loan,1999801442.14,INR,BELOW_100,CP-00041,2026-06-30
POS-000138,Letter of Credit,20357226.5,INR,AT_100,CP-00041,2026-06-30
POS-000139,Letter of Credit,7281842.9,INR,BELOW_100,CP-00041,2026-06-30
POS-000140,Cash Credit,4374896039.09,INR,BELOW_100,CP-00042,2026-06-30
POS-000141,Derivative - Interest Rate Swap,43678838.73,INR,AT_100,CP-00042,2026-06-30
POS-000142,Derivative - Interest Rate Swap,8350592.6,INR,ABOVE_100,CP-00042,2026-06-30
POS-000143,Term Loan,7768510545.27,INR,BELOW_100,CP-00043,2026-06-30
POS-000144,Bank Guarantee,351008275.83,INR,BELOW_100,CP-00043,2026-06-30
POS-000145,Term Loan,6027498667.05,INR,AT_100,CP-00044,2026-06-30
POS-000146,Derivative - FX Forward,2116170.5,INR,BELOW_100,CP-00044,2026-06-30
POS-000147,Bank Guarantee,312760.38,INR,BELOW_100,CP-00044,2026-06-30
POS-000148,Cash Credit,52783439.19,INR,ABOVE_100,CP-00045,2026-06-30
POS-000149,Cash Credit,235864966.44,INR,AT_100,CP-00045,2026-06-30
POS-000150,Term Loan,1231257233.01,INR,BELOW_100,CP-00045,2026-06-30
POS-000151,Letter of Credit,12336851.64,INR,BELOW_100,CP-00045,2026-06-30
POS-000152,Term Loan,668620966.97,INR,BELOW_100,CP-00046,2026-06-30
POS-000153,Term Loan,2262672792.68,INR,ABOVE_100,CP-00046,2026-06-30
POS-000154,Bank Guarantee,20049697.54,INR,BELOW_100,CP-00046,2026-06-30
POS-000155,Investment - Debenture/Bond,107731244433.1,INR,AT_100,CP-00047,2026-06-30
POS-000156,Letter of Credit,103529604.09,INR,ABOVE_100,CP-00047,2026-06-30
POS-000157,Bank Guarantee,10912565.99,INR,ABOVE_100,CP-00047,2026-06-30
POS-000158,Term Loan,414580446.24,INR,ABOVE_100,CP-00048,2026-06-30
POS-000159,Term Loan,2908268852.92,INR,BELOW_100,CP-00048,2026-06-30
POS-000160,Term Loan,871650266.79,INR,BELOW_100,CP-00048,2026-06-30
POS-000161,Bank Guarantee,5179742.19,INR,BELOW_100,CP-00048,2026-06-30
POS-000162,Term Loan,2585164520.1,INR,BELOW_100,CP-00049,2026-06-30
POS-000163,Term Loan,199216067.3,INR,BELOW_100,CP-00049,2026-06-30
POS-000164,Derivative - Interest Rate Swap,42590021.84,INR,AT_100,CP-00049,2026-06-30
POS-000165,Letter of Credit,1236283.81,INR,AT_100,CP-00049,2026-06-30
POS-000166,Term Loan,1864719013.1,INR,AT_100,CP-00050,2026-06-30
POS-000167,Term Loan,1005100113.98,INR,BELOW_100,CP-00050,2026-06-30
POS-000168,Term Loan,1751087375.87,INR,BELOW_100,CP-00050,2026-06-30
POS-000169,Bank Guarantee,14022527.4,INR,AT_100,CP-00050,2026-06-30
POS-000170,Cash Credit,35343770962.55,INR,BELOW_100,CP-00051,2026-06-30
POS-000171,Letter of Credit,43586815.55,INR,BELOW_100,CP-00051,2026-06-30
POS-000172,Cash Credit,13076600698.25,INR,AT_100,CP-00052,2026-06-30
POS-000173,Derivative - FX Forward,3263953.69,INR,AT_100,CP-00052,2026-06-30
POS-000174,Letter of Credit,3015711.18,INR,BELOW_100,CP-00052,2026-06-30
POS-000175,Term Loan,2153573541.59,INR,AT_100,CP-00053,2026-06-30
POS-000176,Investment - Debenture/Bond,81943411.85,INR,BELOW_100,CP-00053,2026-06-30
POS-000177,Bank Guarantee,738008.16,INR,ABOVE_100,CP-00053,2026-06-30
POS-000178,Derivative - Interest Rate Swap,5123498.72,INR,AT_100,CP-00053,2026-06-30
POS-000179,Cash Credit,649213058.41,INR,BELOW_100,CP-00054,2026-06-30
POS-000180,Derivative - FX Forward,4587901.03,INR,BELOW_100,CP-00054,2026-06-30
POS-000181,Term Loan,4557183226.09,INR,BELOW_100,CP-00055,2026-06-30
POS-000182,Letter of Credit,20736254.28,INR,AT_100,CP-00055,2026-06-30
POS-000183,Cash Credit,1822678125.08,INR,AT_100,CP-00056,2026-06-30
POS-000184,Letter of Credit,11629666.33,INR,ABOVE_100,CP-00056,2026-06-30
POS-000185,Term Loan,2721377624.03,INR,BELOW_100,CP-00057,2026-06-30
POS-000186,Term Loan,10260702422.35,INR,BELOW_100,CP-00057,2026-06-30
POS-000187,Term Loan,22365027775.06,INR,AT_100,CP-00057,2026-06-30
POS-000188,Bank Guarantee,5021092.63,INR,BELOW_100,CP-00057,2026-06-30
POS-000189,Derivative - FX Forward,11310873.05,INR,BELOW_100,CP-00057,2026-06-30
POS-000190,Cash Credit,37144652.48,INR,BELOW_100,CP-00058,2026-06-30
POS-000191,Cash Credit,40394242.09,INR,BELOW_100,CP-00058,2026-06-30
POS-000192,Term Loan,2027423565.89,INR,BELOW_100,CP-00058,2026-06-30
POS-000193,Letter of Credit,7383138.94,INR,BELOW_100,CP-00058,2026-06-30
POS-000194,Cash Credit,909339347.77,INR,AT_100,CP-00059,2026-06-30
POS-000195,Bank Guarantee,1848226.45,INR,AT_100,CP-00059,2026-06-30
POS-000196,Letter of Credit,1372375.73,INR,BELOW_100,CP-00059,2026-06-30
POS-000197,Term Loan,147330752.34,INR,BELOW_100,CP-00060,2026-06-30
POS-000198,Term Loan,2002840198.72,INR,ABOVE_100,CP-00060,2026-06-30
POS-000199,Investment - Debenture/Bond,1100596046.51,INR,BELOW_100,CP-00060,2026-06-30
POS-000200,Letter of Credit,111288134.29,INR,BELOW_100,CP-00060,2026-06-30
POS-000201,Investment - Debenture/Bond,911008211.58,INR,ABOVE_100,CP-00061,2026-06-30
POS-000202,Term Loan,80644546.7,INR,ABOVE_100,CP-00061,2026-06-30
POS-000203,Letter of Credit,4010924.6,INR,BELOW_100,CP-00061,2026-06-30
POS-000204,Derivative - Interest Rate Swap,13769289.88,INR,BELOW_100,CP-00061,2026-06-30
POS-000205,Investment - Debenture/Bond,1889430258.25,INR,AT_100,CP-00062,2026-06-30
POS-000206,Term Loan,2340130973.09,INR,ABOVE_100,CP-00062,2026-06-30
POS-000207,Letter of Credit,14274237.6,INR,ABOVE_100,CP-00062,2026-06-30
POS-000208,Bank Guarantee,21420072.54,INR,AT_100,CP-00062,2026-06-30
POS-000209,Investment - Debenture/Bond,4384990220.57,INR,ABOVE_100,CP-00063,2026-06-30
POS-000210,Letter of Credit,45844283.49,INR,AT_100,CP-00063,2026-06-30
POS-000211,Bank Guarantee,943424.27,INR,BELOW_100,CP-00063,2026-06-30
POS-000212,Term Loan,1084259205.72,INR,BELOW_100,CP-00064,2026-06-30
POS-000213,Cash Credit,135498537.89,INR,ABOVE_100,CP-00064,2026-06-30
POS-000214,Cash Credit,77658623.68,INR,ABOVE_100,CP-00064,2026-06-30
POS-000215,Letter of Credit,9940405.09,INR,BELOW_100,CP-00064,2026-06-30
POS-000216,Term Loan,6732689435.12,INR,ABOVE_100,CP-00065,2026-06-30
POS-000217,Investment - Debenture/Bond,62734596970.68,INR,ABOVE_100,CP-00065,2026-06-30
POS-000218,Letter of Credit,315036468.06,INR,BELOW_100,CP-00065,2026-06-30
POS-000219,Bank Guarantee,27805127.89,INR,BELOW_100,CP-00065,2026-06-30
POS-000220,Term Loan,2403288596.63,INR,BELOW_100,CP-00066,2026-06-30
POS-000221,Term Loan,354401611.27,INR,ABOVE_100,CP-00066,2026-06-30
POS-000222,Letter of Credit,27446115.98,INR,ABOVE_100,CP-00066,2026-06-30
POS-000223,Cash Credit,237233179.69,INR,BELOW_100,CP-00067,2026-06-30
POS-000224,Cash Credit,12590732541.79,INR,BELOW_100,CP-00067,2026-06-30
POS-000225,Derivative - FX Forward,5690748.17,INR,ABOVE_100,CP-00067,2026-06-30
POS-000226,Term Loan,903842721.91,INR,BELOW_100,CP-00068,2026-06-30
POS-000227,Cash Credit,35317762.6,INR,ABOVE_100,CP-00068,2026-06-30
POS-000228,Term Loan,1010950360.58,INR,ABOVE_100,CP-00068,2026-06-30
POS-000229,Bank Guarantee,6988403.2,INR,BELOW_100,CP-00068,2026-06-30
POS-000230,Term Loan,2799113929.73,INR,BELOW_100,CP-00069,2026-06-30
POS-000231,Cash Credit,1781834810.63,INR,AT_100,CP-00069,2026-06-30
POS-000232,Derivative - Interest Rate Swap,7643067.61,INR,BELOW_100,CP-00069,2026-06-30
POS-000233,Letter of Credit,17141487.4,INR,AT_100,CP-00069,2026-06-30
POS-000234,Cash Credit,1106090431.6,INR,AT_100,CP-00070,2026-06-30
POS-000235,Cash Credit,24618264.48,INR,ABOVE_100,CP-00070,2026-06-30
POS-000236,Bank Guarantee,509594.32,INR,AT_100,CP-00070,2026-06-30
POS-000237,Derivative - FX Forward,7244474.47,INR,BELOW_100,CP-00070,2026-06-30
POS-000238,Cash Credit,16856808159.66,INR,AT_100,CP-00071,2026-06-30
POS-000239,Letter of Credit,910459884.39,INR,BELOW_100,CP-00071,2026-06-30
POS-000240,Letter of Credit,695722945.94,INR,AT_100,CP-00071,2026-06-30
POS-000241,Cash Credit,6101087001.48,INR,ABOVE_100,CP-00072,2026-06-30
POS-000242,Cash Credit,6876964772.51,INR,AT_100,CP-00072,2026-06-30
POS-000243,Term Loan,4716329052.87,INR,ABOVE_100,CP-00072,2026-06-30
POS-000244,Derivative - Interest Rate Swap,345262746.73,INR,ABOVE_100,CP-00072,2026-06-30
POS-000245,Cash Credit,2264606229.55,INR,BELOW_100,CP-00073,2026-06-30
POS-000246,Term Loan,1013794625.18,INR,BELOW_100,CP-00073,2026-06-30
POS-000247,Investment - Debenture/Bond,8275076468.69,INR,AT_100,CP-00073,2026-06-30
POS-000248,Derivative - FX Forward,3501564263.16,INR,BELOW_100,CP-00073,2026-06-30
POS-000249,Letter of Credit,7404758573.29,INR,BELOW_100,CP-00073,2026-06-30
POS-000250,Cash Credit,34575986667.65,INR,BELOW_100,CP-00074,2026-06-30
POS-000251,Cash Credit,5484279801.77,INR,AT_100,CP-00074,2026-06-30
POS-000252,Letter of Credit,2233431.49,INR,BELOW_100,CP-00074,2026-06-30
POS-000253,Derivative - FX Forward,116399147.43,INR,BELOW_100,CP-00074,2026-06-30
POS-000254,Term Loan,11792127377.15,INR,AT_100,CP-00075,2026-06-30
POS-000255,Derivative - FX Forward,151544360.23,INR,BELOW_100,CP-00075,2026-06-30
POS-000256,Letter of Credit,1646529460.63,INR,AT_100,CP-00075,2026-06-30
POS-000257,Investment - Debenture/Bond,1172398300.87,INR,AT_100,CP-00076,2026-06-30
POS-000258,Cash Credit,27424656851.99,INR,AT_100,CP-00076,2026-06-30
POS-000259,Term Loan,2240027577.08,INR,ABOVE_100,CP-00076,2026-06-30
POS-000260,Derivative - FX Forward,91135228.45,INR,ABOVE_100,CP-00076,2026-06-30
POS-000261,Letter of Credit,90754052.59,INR,BELOW_100,CP-00076,2026-06-30
POS-000262,Cash Credit,19016847209.96,INR,BELOW_100,CP-00077,2026-06-30
POS-000263,Letter of Credit,6556804746.29,INR,BELOW_100,CP-00077,2026-06-30
POS-000264,Term Loan,17705472428.42,INR,ABOVE_100,CP-00078,2026-06-30
POS-000265,Derivative - FX Forward,170983973.99,INR,BELOW_100,CP-00078,2026-06-30
POS-000266,Cash Credit,190749896519.59,INR,ABOVE_100,CP-00079,2026-06-30
POS-000267,Derivative - FX Forward,2215080648.0,INR,AT_100,CP-00079,2026-06-30
POS-000268,Bank Guarantee,697004464.15,INR,ABOVE_100,CP-00079,2026-06-30
POS-000269,Term Loan,82532243373.48,INR,BELOW_100,CP-00080,2026-06-30
POS-000270,Cash Credit,22905832918.33,INR,BELOW_100,CP-00080,2026-06-30
POS-000271,Derivative - FX Forward,278632724.88,INR,ABOVE_100,CP-00080,2026-06-30
POS-000272,Term Loan,10313373151.8,INR,ABOVE_100,CP-00081,2026-06-30
POS-000273,Term Loan,10579900816.73,INR,BELOW_100,CP-00081,2026-06-30
POS-000274,Term Loan,9769995843.79,INR,BELOW_100,CP-00081,2026-06-30
POS-000275,Bank Guarantee,30762219271.35,INR,BELOW_100,CP-00081,2026-06-30
POS-000276,Cash Credit,41316995394.29,INR,BELOW_100,CP-00082,2026-06-30
POS-000277,Letter of Credit,240031717.2,INR,BELOW_100,CP-00082,2026-06-30
POS-000278,Bank Guarantee,572852538.7,INR,BELOW_100,CP-00082,2026-06-30
POS-000279,Term Loan,4274132915.59,INR,ABOVE_100,CP-00083,2026-06-30
POS-000280,Term Loan,745035314.95,INR,AT_100,CP-00083,2026-06-30
POS-000281,Derivative - FX Forward,1934142760.19,INR,AT_100,CP-00083,2026-06-30
POS-000282,Term Loan,12523081049.07,INR,AT_100,CP-00084,2026-06-30
POS-000283,Investment - Debenture/Bond,935247794.48,INR,BELOW_100,CP-00084,2026-06-30
POS-000284,Bank Guarantee,1517594911.02,INR,ABOVE_100,CP-00084,2026-06-30
POS-000285,Term Loan,6351925415.38,INR,BELOW_100,CP-00085,2026-06-30
POS-000286,Term Loan,40458776967.7,INR,ABOVE_100,CP-00085,2026-06-30
POS-000287,Bank Guarantee,297528495.18,INR,BELOW_100,CP-00085,2026-06-30
POS-000288,Bank Guarantee,660359654.7,INR,ABOVE_100,CP-00085,2026-06-30
POS-000289,Term Loan,12639807487.52,INR,BELOW_100,CP-00086,2026-06-30
POS-000290,Bank Guarantee,3287699428.1,INR,BELOW_100,CP-00086,2026-06-30
POS-000291,Bank Guarantee,1205154703.54,INR,ABOVE_100,CP-00086,2026-06-30
POS-000292,Term Loan,23519151035.98,INR,BELOW_100,CP-00087,2026-06-30
POS-000293,Bank Guarantee,1116288268.66,INR,BELOW_100,CP-00087,2026-06-30
POS-000294,Letter of Credit,357012570.14,INR,BELOW_100,CP-00087,2026-06-30
POS-000295,Cash Credit,6689307447.6,INR,ABOVE_100,CP-00088,2026-06-30
POS-000296,Term Loan,5821661153.58,INR,ABOVE_100,CP-00088,2026-06-30
POS-000297,Term Loan,2105054451.34,INR,BELOW_100,CP-00088,2026-06-30
POS-000298,Derivative - FX Forward,3626334649.84,INR,BELOW_100,CP-00088,2026-06-30
POS-000299,Bank Guarantee,958844090.96,INR,AT_100,CP-00088,2026-06-30
POS-000300,Term Loan,4722333365.04,INR,AT_100,CP-00089,2026-06-30
POS-000301,Investment - Debenture/Bond,1360331695.91,INR,BELOW_100,CP-00089,2026-06-30
POS-000302,Letter of Credit,9015676642.74,INR,BELOW_100,CP-00089,2026-06-30
POS-000303,Derivative - FX Forward,2460381674.53,INR,BELOW_100,CP-00089,2026-06-30
POS-000304,Term Loan,6032301150.12,INR,BELOW_100,CP-00090,2026-06-30
POS-000305,Derivative - FX Forward,3647245684.89,INR,BELOW_100,CP-00090,2026-06-30
POS-000306,Term Loan,13176129661.5,INR,BELOW_100,CP-00091,2026-06-30
POS-000307,Term Loan,9985560421.28,INR,AT_100,CP-00091,2026-06-30
POS-000308,Derivative - FX Forward,524255030.2,INR,ABOVE_100,CP-00091,2026-06-30
POS-000309,Derivative - Interest Rate Swap,5199647980.05,INR,ABOVE_100,CP-00091,2026-06-30
POS-000310,Cash Credit,173292735960.41,INR,AT_100,CP-00092,2026-06-30
POS-000311,Investment - Debenture/Bond,21293973310.59,INR,AT_100,CP-00092,2026-06-30
POS-000312,Derivative - FX Forward,14796743028.4,INR,ABOVE_100,CP-00092,2026-06-30
POS-000313,Derivative - FX Forward,9592424763.13,INR,BELOW_100,CP-00092,2026-06-30
POS-000314,Investment - Debenture/Bond,2951345367.52,INR,AT_100,CP-00093,2026-06-30
POS-000315,Investment - Debenture/Bond,940814024.79,INR,AT_100,CP-00093,2026-06-30
POS-000316,Derivative - FX Forward,874788285.58,INR,BELOW_100,CP-00093,2026-06-30
POS-000317,Derivative - FX Forward,52319826.04,INR,BELOW_100,CP-00093,2026-06-30
